coddistrit,codsecc,coddistsecc,last_edited_date
19,12,1912,
10,27,1027,
9,20,0920,
10,43,1043,
9,28,0928,
9,33,0933,
9,32,0932,
19,2,1902,
19,15,1915,
19,6,1906,
3,10,0310,
2,44,0244,
3,35,0335,
8,25,0825,
9,24,0924,
13,3,1303,
10,6,1006,
2,25,0225,
2,22,0222,
8,17,0817,
8,16,0816,
8,30,0830,
9,4,0904,
10,53,1053,
10,4,1004,
10,44,1044,
10,15,1015,
2,30,0230,
10,47,1047,
9,15,0915,
10,17,1017,
9,16,0916,
10,23,1023,
9,23,0923,
10,49,1049,
8,35,0835,
10,28,1028,
9,19,0919,
9,22,0922,
12,24,1224,
3,40,0340,
3,53,0353,
11,21,1121,
6,13,0613,
11,18,1118,
11,9,1109,
13,2,1302,
2,46,0246,
9,21,0921,
10,50,1050,
11,46,1146,
12,38,1238,
12,43,1243,
8,2,0802,
2,43,0243,
8,3,0803,
2,54,0254,
2,53,0253,
8,8,0808,
10,1,1001,
3,55,0355,
11,4,1104,
12,31,1231,
12,29,1229,
8,40,0840,
2,21,0221,
10,45,1045,
9,2,0902,
3,37,0337,
13,4,1304,
11,40,1140,
13,19,1319,
1,31,0131,
3,49,0349,
11,52,1152,
12,23,1223,
13,15,1315,
4,23,0423,
1,24,0124,
6,26,0626,
1,9,0109,
1,8,0108,
1,17,0117,
6,2,0602,
1,2,0102,
1,1,0101,
13,12,1312,
6,27,0627,
13,17,1317,
3,20,0320,
6,7,0607,
11,41,1141,
13,21,1321,
11,30,1130,
5,22,0522,
12,27,1227,
18,10,1810,
9,26,0926,
3,44,0344,
18,2,1802,
18,1,1801,
1,32,0132,
11,54,1154,
12,37,1237,
12,44,1244,
1,19,0119,
5,43,0543,
5,31,0531,
2,37,0237,
3,52,0352,
9,42,0942,
15,29,1529,
13,27,1327,
13,13,1313,
5,29,0529,
9,17,0917,
9,18,0918,
7,30,0730,
8,10,0810,
9,29,0929,
9,35,0935,
9,12,0912,
7,7,0707,
10,5,1005,
10,21,1021,
7,8,0708,
1,5,0105,
8,7,0807,
3,41,0341,
2,16,0216,
10,12,1012,
8,14,0814,
2,31,0231,
3,8,0308,
5,6,0506,
1,14,0114,
6,6,0606,
11,32,1132,
4,20,0420,
1,11,0111,
13,28,1328,
6,21,0621,
6,24,0624,
14,24,1424,
14,21,1421,
4,9,0409,
5,26,0526,
4,10,0410,
5,27,0527,
15,24,1524,
4,2,0402,
6,19,0619,
5,8,0508,
14,3,1403,
14,4,1404,
4,11,0411,
16,27,1627,
14,7,1407,
4,14,0414,
5,15,0515,
5,5,0505,
14,8,1408,
5,17,0517,
4,12,0412,
5,40,0540,
5,3,0503,
14,22,1422,
14,9,1409,
16,2,1602,
15,2,1502,
14,18,1418,
5,33,0533,
16,10,1610,
16,8,1608,
15,32,1532,
16,4,1604,
15,4,1504,
16,16,1616,
15,26,1526,
15,1,1501,
16,31,1631,
15,12,1512,
16,5,1605,
15,16,1516,
15,21,1521,
15,20,1520,
15,10,1510,
15,17,1517,
15,18,1518,
10,37,1037,
8,27,0827,
10,13,1013,
9,41,0941,
2,20,0220,
10,11,1011,
10,9,1009,
2,24,0224,
9,1,0901,
8,37,0837,
10,2,1002,
8,38,0838,
2,32,0232,
3,47,0347,
12,32,1232,
16,6,1606,
8,32,0832,
2,23,0223,
8,18,0818,
9,3,0903,
2,26,0226,
