coddistrit,codbarrio,coddistbar,nombre,airbnb_total,airbnb_vivienda_completa,airbnb_habitacion_privada,precio_medio_airbnb,disponibilidad_media,resenas_media,host_listings_medio
11,2,112,CABANYAL-CANYAMELAR,750,642,108,204.25663716814145,176.1640000000002,58.41733333333358,7.633333333333338
2,1,021,RUSSAFA,565,440,114,138.03386454183266,170.09734513274336,57.387610619468795,19.86902654867259
12,1,121,AIORA,349,274,75,164.59874608150452,174.13180515759313,46.29226361031529,14.521489971346721
1,5,015,EL MERCAT,291,252,38,150.5467289719626,196.27835051546393,81.33333333333324,19.302405498281775
10,1,101,MONTOLIVET,284,220,63,105.23966942148759,179.42253521126764,47.40845070422541,16.683098591549285
11,1,111,EL GRAU,283,220,62,185.4053030303026,203.2473498233215,28.031802120141265,13.180212014134279
1,3,013,EL CARME,273,255,18,207.58620689655152,173.3003663003663,81.80219780219767,9.15018315018315
11,3,113,LA MALVA-ROSA,258,193,65,157.9276595744681,195.9418604651162,44.08527131782932,7.13953488372093
1,6,016,SANT FRANCESC,245,176,69,161.46153846153842,185.2408163265306,79.3020408163265,13.39591836734694
10,2,102,EN CORTS,230,165,62,88.01886792452831,167.07826086956524,46.530434782608765,14.621739130434788
3,4,034,ARRANCAPINS,209,148,60,101.6875,178.97607655502392,59.80382775119632,15.751196172248811
1,1,011,LA SEU,193,171,22,135.20114942528735,191.62176165803106,95.79274611398952,13.383419689119165
3,2,032,LA ROQUETA,173,123,49,138.2420382165605,186.6242774566474,76.50289017341044,12.786127167630056
7,1,071,NOU MOLES,165,93,72,142.66447368421055,172.14545454545456,28.412121212121168,4.654545454545453
1,4,014,EL PILAR,144,131,12,127.96842105263158,178.22222222222226,79.5972222222222,13
9,1,091,LA RAIOSA,144,110,34,110.5275590551181,215.31944444444446,31.4375,15.347222222222218
3,1,031,EL BOTANIC,141,120,21,196.1287878787878,195.79432624113474,73.9929078014185,13.97872340425531
1,2,012,LA XEREA,138,89,48,132.5496183206107,183.13043478260866,96.59420289855063,18.369565217391305
12,3,123,LA CREU DEL GRAU,133,94,39,98.72268907563026,184.94736842105263,59.368421052631504,9.67669172932331
5,2,052,MORVEDRE,133,110,23,128.92307692307693,208.16541353383457,41.09022556390973,13.195488721804512
16,1,161,BENICALAP,128,84,44,408.9824561403507,195.78125,17.453125,14.2265625
8,1,081,PATRAIX,123,92,31,167.53913043478278,193.52845528455285,47.98373983739836,11.16260162601626
3,3,033,LA PETXINA,114,94,20,115.96190476190476,198.7543859649123,54.64035087719301,15.991228070175435
