coddistrit,codbarrio,coddistbar,nombre,n
11,2,112,CABANYAL-CANYAMELAR,750
2,1,021,RUSSAFA,565
12,1,121,AIORA,349
1,5,015,EL MERCAT,291
10,1,101,MONTOLIVET,284
11,1,111,EL GRAU,283
1,3,013,EL CARME,273
11,3,113,LA MALVA-ROSA,258
1,6,016,SANT FRANCESC,245
10,2,102,EN CORTS,230
3,4,034,ARRANCAPINS,209
1,1,011,LA SEU,193
3,2,032,LA ROQUETA,173
7,1,071,NOU MOLES,165
1,4,014,EL PILAR,144
9,1,091,LA RAIOSA,144
3,1,031,EL BOTANIC,141
1,2,012,LA XEREA,138
12,3,123,LA CREU DEL GRAU,133
5,2,052,MORVEDRE,133
16,1,161,BENICALAP,128
8,1,081,PATRAIX,123
3,3,033,LA PETXINA,114
10,7,107,CIUTAT DE LES ARTS I DE LES CIENCIES,106
12,2,122,ALBORS,100
13,2,132,CIUTAT JARDI,100
6,2,062,MESTALLA,98
12,5,125,PENYA-ROJA,96
11,5,115,NATZARET,92
11,4,114,BETERO,89
13,3,133,L'AMISTAT,76
14,1,141,BENIMACLET,74
10,5,105,NA ROVELLA,73
2,3,023,LA GRAN VIA,71
15,2,152,TORREFIEL,70
10,3,103,MALILLA,68
13,1,131,L'ILLA PERDUDA,64
13,5,135,LA CARRASCA,62
19,4,194,EL SALER,61
15,1,151,ELS ORRIOLS,58
5,4,054,TORMOS,56
9,2,092,L'HORT DE SENABRE,56
4,2,042,LES TENDETES,52
12,4,124,CAMI FONDO,51
2,2,022,EL PLA DEL REMEI,50
5,1,051,MARXALENES,49
5,3,053,TRINITAT,46
5,5,055,SANT ANTONI,45
4,1,041,CAMPANAR,42
10,6,106,LA PUNTA,41
9,4,094,SANT MARCEL.LI,41
18,1,181,BENIMAMET,39
13,4,134,LA VEGA BAIXA,38
19,6,196,EL PERELLONET,34
15,3,153,SANT LLORENS,31
4,4,044,SANT PAU,30
6,1,061,EXPOSICIO,27
7,3,073,TRES FORQUES,27
7,2,072,SOTERNES,26
8,4,084,SAFRANAR,25
9,5,095,CAMI REAL,25
16,2,162,CIUTAT FALLERA,18
19,3,193,PINEDO,17
6,3,063,JAUME ROIG,16
9,3,093,LA CREU COBERTA,16
6,4,064,CIUTAT UNIVERSITARIA,15
10,4,104,LA FONTETA S.LLUIS,12
18,2,182,BENIFERRI,12
8,5,085,FAVARA,12
4,3,043,EL CALVARI,10
8,3,083,VARA DE QUART,10
7,4,074,LA FONTSANTA,9
14,2,142,CAMI DE VERA,7
8,2,082,SANT ISIDRE,7
7,5,075,LA LLUM,6
19,7,197,LA TORRE,5
19,2,192,CASTELLAR-L'OLIVERAL,4
17,2,172,POBLE NOU,2
17,3,173,CARPESA,2
17,6,176,MASSARROJOS,2
19,1,191,EL FORN D'ALCEDO,2
19,5,195,EL PALMAR,2
17,5,175,MAHUELLA-TAULADELLA,1
17,7,177,BORBOTO,1
19,8,198,FAITANAR,1
