nombre,room_type,n
CABANYAL-CANYAMELAR,Entire home/apt,642
RUSSAFA,Entire home/apt,440
AIORA,Entire home/apt,274
EL CARME,Entire home/apt,255
EL MERCAT,Entire home/apt,252
EL GRAU,Entire home/apt,220
MONTOLIVET,Entire home/apt,220
LA MALVA-ROSA,Entire home/apt,193
SANT FRANCESC,Entire home/apt,176
LA SEU,Entire home/apt,171
EN CORTS,Entire home/apt,165
ARRANCAPINS,Entire home/apt,148
EL PILAR,Entire home/apt,131
LA ROQUETA,Entire home/apt,123
EL BOTANIC,Entire home/apt,120
RUSSAFA,Private room,114
LA RAIOSA,Entire home/apt,110
MORVEDRE,Entire home/apt,110
CABANYAL-CANYAMELAR,Private room,108
LA CREU DEL GRAU,Entire home/apt,94
LA PETXINA,Entire home/apt,94
NOU MOLES,Entire home/apt,93
PATRAIX,Entire home/apt,92
CIUTAT DE LES ARTS I DE LES CIENCIES,Entire home/apt,89
LA XEREA,Entire home/apt,89
BENICALAP,Entire home/apt,84
PENYA-ROJA,Entire home/apt,76
AIORA,Private room,75
NOU MOLES,Private room,72
NATZARET,Entire home/apt,71
SANT FRANCESC,Private room,69
ALBORS,Entire home/apt,67
LA MALVA-ROSA,Private room,65
MONTOLIVET,Private room,63
EL GRAU,Private room,62
EN CORTS,Private room,62
MESTALLA,Entire home/apt,61
ARRANCAPINS,Private room,60
EL SALER,Entire home/apt,56
CIUTAT JARDI,Entire home/apt,51
CIUTAT JARDI,Private room,49
LA ROQUETA,Private room,49
LA XEREA,Private room,48
BETERO,Private room,45
MALILLA,Entire home/apt,45
BENICALAP,Private room,44
BETERO,Entire home/apt,44
LA GRAN VIA,Entire home/apt,44
NA ROVELLA,Entire home/apt,42
BENIMACLET,Entire home/apt,40
L'AMISTAT,Entire home/apt,40
L'HORT DE SENABRE,Private room,39
LA CREU DEL GRAU,Private room,39
TORREFIEL,Private room,39
EL MERCAT,Private room,38
MESTALLA,Private room,37
L'AMISTAT,Private room,36
LA CARRASCA,Entire home/apt,36
TORMOS,Entire home/apt,36
BENIMACLET,Private room,34
LA RAIOSA,Private room,34
TRINITAT,Entire home/apt,34
ALBORS,Private room,33
EL PERELLONET,Entire home/apt,33
L'ILLA PERDUDA,Entire home/apt,32
L'ILLA PERDUDA,Private room,32
CAMPANAR,Entire home/apt,31
EL PLA DEL REMEI,Entire home/apt,31
LES TENDETES,Entire home/apt,31
MARXALENES,Entire home/apt,31
NA ROVELLA,Private room,31
PATRAIX,Private room,31
TORREFIEL,Entire home/apt,31
CAMI FONDO,Entire home/apt,29
ELS ORRIOLS,Entire home/apt,29
ELS ORRIOLS,Private room,29
LA PUNTA,Entire home/apt,29
SANT ANTONI,Entire home/apt,29
LA GRAN VIA,Private room,27
LA VEGA BAIXA,Entire home/apt,25
SANT MARCEL.LI,Private room,24
SANT PAU,Entire home/apt,24
MALILLA,Private room,23
MORVEDRE,Private room,23
CAMI FONDO,Private room,22
LA CARRASCA,Private room,22
LA SEU,Private room,22
SANT LLORENS,Entire home/apt,22
EL BOTANIC,Private room,21
LES TENDETES,Private room,21
NATZARET,Private room,21
BENIMAMET,Entire home/apt,20
LA PETXINA,Private room,20
PENYA-ROJA,Private room,20
SAFRANAR,Entire home/apt,20
TORMOS,Private room,20
BENIMAMET,Private room,19
EL PLA DEL REMEI,Private room,19
SOTERNES,Entire home/apt,19
EL CARME,Private room,18
EXPOSICIO,Entire home/apt,18
CIUTAT DE LES ARTS I DE LES CIENCIES,Private room,17
L'HORT DE SENABRE,Entire home/apt,17
MARXALENES,Private room,17
SANT MARCEL.LI,Entire home/apt,17
PINEDO,Entire home/apt,16
SANT ANTONI,Private room,16
TRES FORQUES,Private room,16
CAMI REAL,Private room,14
LA VEGA BAIXA,Private room,13
EL PILAR,Private room,12
JAUME ROIG,Entire home/apt,12
LA PUNTA,Private room,12
TRINITAT,Private room,12
CAMI REAL,Entire home/apt,11
CAMPANAR,Private room,11
CIUTAT FALLERA,Entire home/apt,11
LA CREU COBERTA,Private room,11
TRES FORQUES,Entire home/apt,11
CIUTAT UNIVERSITARIA,Entire home/apt,10
EXPOSICIO,Private room,9
LA FONTETA S.LLUIS,Entire home/apt,9
SANT LLORENS,Private room,9
BENIFERRI,Entire home/apt,8
CIUTAT FALLERA,Private room,7
FAVARA,Private room,7
RUSSAFA,Hotel room,7
SOTERNES,Private room,7
EL CALVARI,Entire home/apt,6
LA FONTSANTA,Private room,6
SANT PAU,Private room,6
VARA DE QUART,Entire home/apt,6
CIUTAT UNIVERSITARIA,Private room,5
EL SALER,Private room,5
FAVARA,Entire home/apt,5
LA CREU COBERTA,Entire home/apt,5
SAFRANAR,Private room,5
SANT ISIDRE,Private room,5
BENIFERRI,Private room,4
CAMI DE VERA,Entire home/apt,4
CASTELLAR-L'OLIVERAL,Entire home/apt,4
EL CALVARI,Private room,4
JAUME ROIG,Private room,4
LA CARRASCA,Hotel room,4
LA LLUM,Entire home/apt,4
RUSSAFA,Shared room,4
VARA DE QUART,Private room,4
CAMI DE VERA,Private room,3
LA FONTETA S.LLUIS,Private room,3
LA FONTSANTA,Entire home/apt,3
LA TORRE,Private room,3
CARPESA,Entire home/apt,2
EL FORN D'ALCEDO,Entire home/apt,2
EL PALMAR,Private room,2
EN CORTS,Hotel room,2
LA LLUM,Private room,2
LA TORRE,Entire home/apt,2
POBLE NOU,Private room,2
SANT ISIDRE,Entire home/apt,2
ARRANCAPINS,Shared room,1
BORBOTO,Entire home/apt,1
EL GRAU,Shared room,1
EL MERCAT,Hotel room,1
EL PERELLONET,Private room,1
EL PILAR,Hotel room,1
EN CORTS,Shared room,1
FAITANAR,Private room,1
LA ROQUETA,Hotel room,1
LA XEREA,Shared room,1
MAHUELLA-TAULADELLA,Entire home/apt,1
MARXALENES,Shared room,1
MASSARROJOS,Entire home/apt,1
MASSARROJOS,Private room,1
MONTOLIVET,Shared room,1
PINEDO,Private room,1
