coddistrit,codbarrio,coddistbar,nombre,n
11,2,112,CABANYAL-CANYAMELAR,642
2,1,021,RUSSAFA,440
12,1,121,AIORA,274
1,3,013,EL CARME,255
1,5,015,EL MERCAT,252
10,1,101,MONTOLIVET,220
11,1,111,EL GRAU,220
11,3,113,LA MALVA-ROSA,193
1,6,016,SANT FRANCESC,176
1,1,011,LA SEU,171
10,2,102,EN CORTS,165
3,4,034,ARRANCAPINS,148
1,4,014,EL PILAR,131
3,2,032,LA ROQUETA,123
3,1,031,EL BOTANIC,120
5,2,052,MORVEDRE,110
9,1,091,LA RAIOSA,110
12,3,123,LA CREU DEL GRAU,94
3,3,033,LA PETXINA,94
7,1,071,NOU MOLES,93
8,1,081,PATRAIX,92
1,2,012,LA XEREA,89
10,7,107,CIUTAT DE LES ARTS I DE LES CIENCIES,89
16,1,161,BENICALAP,84
12,5,125,PENYA-ROJA,76
11,5,115,NATZARET,71
12,2,122,ALBORS,67
6,2,062,MESTALLA,61
19,4,194,EL SALER,56
13,2,132,CIUTAT JARDI,51
10,3,103,MALILLA,45
11,4,114,BETERO,44
2,3,023,LA GRAN VIA,44
10,5,105,NA ROVELLA,42
13,3,133,L'AMISTAT,40
14,1,141,BENIMACLET,40
13,5,135,LA CARRASCA,36
5,4,054,TORMOS,36
5,3,053,TRINITAT,34
19,6,196,EL PERELLONET,33
13,1,131,L'ILLA PERDUDA,32
15,2,152,TORREFIEL,31
2,2,022,EL PLA DEL REMEI,31
4,1,041,CAMPANAR,31
4,2,042,LES TENDETES,31
5,1,051,MARXALENES,31
10,6,106,LA PUNTA,29
12,4,124,CAMI FONDO,29
15,1,151,ELS ORRIOLS,29
5,5,055,SANT ANTONI,29
13,4,134,LA VEGA BAIXA,25
4,4,044,SANT PAU,24
15,3,153,SANT LLORENS,22
18,1,181,BENIMAMET,20
8,4,084,SAFRANAR,20
7,2,072,SOTERNES,19
6,1,061,EXPOSICIO,18
9,2,092,L'HORT DE SENABRE,17
9,4,094,SANT MARCEL.LI,17
19,3,193,PINEDO,16
6,3,063,JAUME ROIG,12
16,2,162,CIUTAT FALLERA,11
7,3,073,TRES FORQUES,11
9,5,095,CAMI REAL,11
6,4,064,CIUTAT UNIVERSITARIA,10
10,4,104,LA FONTETA S.LLUIS,9
18,2,182,BENIFERRI,8
4,3,043,EL CALVARI,6
8,3,083,VARA DE QUART,6
8,5,085,FAVARA,5
9,3,093,LA CREU COBERTA,5
14,2,142,CAMI DE VERA,4
19,2,192,CASTELLAR-L'OLIVERAL,4
7,5,075,LA LLUM,4
7,4,074,LA FONTSANTA,3
17,3,173,CARPESA,2
19,1,191,EL FORN D'ALCEDO,2
19,7,197,LA TORRE,2
8,2,082,SANT ISIDRE,2
17,5,175,MAHUELLA-TAULADELLA,1
17,6,176,MASSARROJOS,1
17,7,177,BORBOTO,1
