coddistrit,codbarrio,coddistbar,nombre,area_m2,area_km2,airbnb_total,airbnb_vivienda_completa,airbnb_habitacion_privada,precio_medio_airbnb,disponibilidad_media,resenas_media,host_listings_medio,airbnb_por_km2,vivienda_completa_por_km2,poblacion_2024,archivo,airbnb_por_1000_hab,vivienda_completa_por_1000_hab,densidad_poblacion
9,3,093,LA CREU COBERTA,374885.4482597541,0.3748854482597541,16,5,11,59.86666666666666,216.5625,12.875,2.8125,42.67970409167168,13.3374075286474,6099,Distrito_09_Barrio_3.xlsx,2.623380882111822,0.8198065256599443,16268.9697034441
10,4,104,LA FONTETA S.LLUIS,238824.41832271105,0.23882441832271104,12,9,3,89.0909090909091,233.66666666666666,31.25,14.833333333333334,50.246118400611046,37.68458880045828,3186,Distrito_10_Barrio_4.xlsx,3.766478342749529,2.824858757062147,13340.344435362233
17,5,175,RAFALELL-VISTABELLA,2124468.7953190277,2.1244687953190278,0,0,0,NA,NA,NA,NA,0,0,59,Distrito_17_Barrio_5.xlsx,0,0,27.771648202128606
14,2,142,CAMI DE VERA,827031.9850545083,0.8270319850545084,7,4,3,111.33333333333333,200.71428571428572,17.571428571428573,2.8571428571428568,8.464001545887783,4.836572311935876,5276,Distrito_14_Barrio_2.xlsx,1.326762699014405,0.7581501137225171,6379.43887944342
18,1,181,BENIMAMET,1477191.5686168238,1.4771915686168238,39,20,19,88.42424242424242,207.84615384615387,17.41025641025641,3.7692307692307687,26.401450447295648,13.53920535758751,14012,Distrito_18_Barrio_1.xlsx,2.7833285755067085,1.4273479874393378,9485.56727352581
18,2,182,BENIFERRI,533945.5579802124,0.5339455579802124,12,8,4,100.33333333333333,224.91666666666666,55.91666666666667,5.416666666666666,22.47420138748436,14.982800924989574,1249,Distrito_18_Barrio_2.xlsx,9.607686148919134,6.405124099279423,2339.1897944139973
19,5,195,EL PALMAR,36961639.71904965,36.96163971904965,2,0,2,36,78.5,49.5,2,0.054110153532209784,0,750,Distrito_19_Barrio_5.xlsx,2.6666666666666665,0,20.29130757457867
19,4,194,EL SALER,8247660.455507244,8.247660455507244,61,56,5,791.881355932203,258.5901639344262,23.262295081967217,6.672131147540984,7.396036770556942,6.789804248380144,1956,Distrito_19_Barrio_4.xlsx,31.186094069529656,28.629856850715747,237.1581626755636
19,6,196,EL PERELLONET,4928204.351112758,4.928204351112758,34,33,1,131.10714285714286,224.79411764705884,21.76470588235295,1.4705882352941178,6.899064563408985,6.69615089977931,1515,Distrito_19_Barrio_6.xlsx,22.442244224422442,21.78217821782178,307.4142003989592
16,2,162,CIUTAT FALLERA,496907.7422953018,0.4969077422953018,18,11,7,86.88235294117646,215.55555555555554,8.222222222222221,7.722222222222222,36.22402805972578,22.136906036499088,6236,Distrito_16_Barrio_2.xlsx,2.886465683130212,1.7639512508017958,12549.613276691665
17,3,173,CARPESA,2255540.2317201127,2.2555402317201128,2,2,0,360,46,12.5,1,0.8867055315057566,0.8867055315057566,1220,Distrito_17_Barrio_3.xlsx,1.639344262295082,1.639344262295082,540.8903742185115
17,7,177,BORBOTO,1419590.7270891634,1.4195907270891635,1,1,0,68,82,12,1,0.704428382714556,0.704428382714556,739,Distrito_17_Barrio_7.xlsx,1.3531799729364007,1.3531799729364007,520.5725748260569
17,1,171,BENIFARAIG,1422068.436208297,1.422068436208297,0,0,0,NA,NA,NA,NA,0,0,1008,Distrito_17_Barrio_1.xlsx,0,0,708.8266459859416
