nombre,poblacion_2024,airbnb_total,airbnb_vivienda_completa,airbnb_por_1000_hab,vivienda_completa_por_1000_hab
EL MERCAT,4034,291,252,72.13683688646505,62.46901338621715
LA SEU,3245,193,171,59.47611710323575,52.69645608628659
SANT FRANCESC,6073,245,176,40.34249958834184,28.98073439815577
CABANYAL-CANYAMELAR,19429,750,642,38.60208965978692,33.0433887487776
EL CARME,7161,273,255,38.12316715542522,35.609551738583995
LA ROQUETA,5018,173,123,34.475886807493026,24.511757672379435
LA XEREA,4137,138,89,33.35750543872371,21.51317379743776
EL SALER,1956,61,56,31.186094069529656,28.629856850715747
EL GRAU,9931,283,220,28.496626724398347,22.152854697412145
EL PILAR,5352,144,131,26.90582959641256,24.476831091180866
RUSSAFA,25100,565,440,22.50996015936255,17.52988047808765
EL PERELLONET,1515,34,33,22.442244224422442,21.78217821782178
EL BOTANIC,6883,141,120,20.485253523173036,17.434258317594075
LA MALVA-ROSA,13135,258,193,19.64217738865626,14.693566806242861
EN CORTS,12222,230,165,18.81852397316315,13.500245459008346
LA CARRASCA,3301,62,36,18.782187215995155,10.90578612541654
MAHUELLA-TAULADELLA,59,1,1,16.949152542372882,16.949152542372882
NATZARET,6413,92,71,14.345859971932013,11.071261500077966
MONTOLIVET,19845,284,220,14.310909549004787,11.085915847820608
AIORA,24902,349,274,14.014938559151876,11.003132278531846
MORVEDRE,10301,133,110,12.911367828366178,10.6785748956412
LA PUNTA,3441,41,29,11.915140947399012,8.427782621331009
CIUTAT DE LES ARTS I DE LES CIENCIES,9020,106,89,11.751662971175167,9.866962305986696
BETERO,7935,89,44,11.216131064902331,5.5450535601764335
CAMI FONDO,4589,51,29,11.113532359991284,6.319459577249945
ALBORS,9136,100,67,10.945709281961472,7.333625218914185
L'AMISTAT,7123,76,40,10.669661659413169,5.615611399691142
LES TENDETES,5410,52,31,9.611829944547136,5.730129390018484
BENIFERRI,1249,12,8,9.607686148919134,6.405124099279423
NA ROVELLA,7628,73,42,9.57000524383849,5.506030414263241
LA RAIOSA,15968,144,110,9.01803607214429,6.88877755511022
ARRANCAPINS,23354,209,148,8.949216408324057,6.337244155176843
LA CREU DEL GRAU,15120,133,94,8.796296296296298,6.216931216931217
CIUTAT JARDI,11922,100,51,8.387854386847843,4.2778057372924
L'ILLA PERDUDA,8453,64,32,7.571276469892346,3.785638234946173
LA PETXINA,15388,114,94,7.408370158565116,6.108656095658955
PENYA-ROJA,13706,96,76,7.004231723332847,5.545016780971838
LA VEGA BAIXA,5467,38,25,6.95079568319005,4.572891896835559
EL PLA DEL REMEI,7240,50,31,6.906077348066298,4.281767955801104
MESTALLA,14745,98,61,6.646320786707359,4.136995591726008
PINEDO,2640,17,16,6.4393939393939394,6.0606060606060606
TORMOS,8870,56,36,6.313416009019166,4.058624577226606
CAMI REAL,3960,25,11,6.313131313131313,2.7777777777777777
NOU MOLES,27351,165,93,6.032686190632884,3.400241307447625
LA GRAN VIA,12291,71,44,5.776584492718249,3.579855178585957
TRINITAT,8082,46,34,5.691660480079189,4.206879485275922
CIUTAT UNIVERSITARIA,2802,15,10,5.353319057815845,3.5688793718772303
SOTERNES,5095,26,19,5.103042198233562,3.7291462217860647
PATRAIX,24613,123,92,4.99735911916467,3.73786210539146
SANT ANTONI,9972,45,29,4.512635379061372,2.908142799839551
