nombre,airbnb_total,area_km2,airbnb_por_km2,airbnb_vivienda_completa,vivienda_completa_por_km2
EL MERCAT,291,0.1727939725686149,1684.0865203469211,252,1458.3842031870245
EL PILAR,144,0.16160510750378704,891.0609461809586,131,810.6179440951776
LA SEU,193,0.22107259766128284,873.0163848515755,171,773.5015637804114
LA ROQUETA,173,0.23056701694205484,750.324145640821,123,533.4674561492543
EL CARME,273,0.3840646551074624,710.8178177021101,255,663.9507088426303
RUSSAFA,565,0.8767438001218523,644.4299918875671,440,501.8569848327956
EN CORTS,230,0.3640243523460367,631.8258614230431,165,453.2663788469657
MONTOLIVET,284,0.4746994605439377,598.273273103316,220,463.4511270518645
SANT FRANCESC,245,0.43865529157365285,558.5251214480403,176,401.22620969328614
CABANYAL-CANYAMELAR,750,1.3498689421881518,555.6094940478015,642,475.60172690491805
AIORA,349,0.6513516602006116,535.8088745678648,274,420.66370095012877
LA XEREA,138,0.31164788954017475,442.807426687901,89,285.5787027190086
ALBORS,100,0.2556549789699685,391.1521708002678,67,262.0719544361794
LA RAIOSA,144,0.3754463124778043,383.5435193108016,110,292.98463280686235
EL BOTANIC,141,0.37011297129240145,380.9647619418487,120,324.22532931221167
L'AMISTAT,76,0.20861229717740626,364.3121763592332,40,191.7432507153859
LA MALVA-ROSA,258,0.7329881537946075,351.9838603998706,193,263.3057560355621
LA CREU DEL GRAU,133,0.3901931426955629,340.8568358767121,94,240.90633513090933
BETERO,89,0.26723698329946177,333.03773639843826,44,164.64786968012677
CAMI FONDO,51,0.15857863021227167,321.60701559681746,29,182.87457749622953
MORVEDRE,133,0.4281813657313327,310.6160394739186,110,256.9004837754214
L'ILLA PERDUDA,64,0.23152207974505717,276.4315181967708,32,138.2157590983854
CIUTAT JARDI,100,0.3639058283321062,274.7963682206772,51,140.14614779254538
ARRANCAPINS,209,0.8743687348052277,239.02958978348687,148,169.2649726696462
LA PETXINA,114,0.49677174395523954,229.48165105435567,94,189.22171227288976
NOU MOLES,165,0.739498797994945,223.12409492398916,93,125.76085350261208
LES TENDETES,52,0.2581724601351728,201.4157512105438,31,120.07477476013187
TORMOS,56,0.27994899563785935,200.0364383247916,36,128.59485320879458
LA VEGA BAIXA,38,0.19057078441742314,199.40097384898945,25,131.18485121644042
PATRAIX,123,0.6213031273618383,197.9709977032942,92,148.07586820083793
SANT ANTONI,45,0.24987147948870314,180.09258236306428,29,116.05966418953032
LA GRAN VIA,71,0.4671158046265851,151.996569794417,44,94.1950573373852
ELS ORRIOLS,58,0.3967381735271384,146.19213342734355,29,73.09606671367177
NA ROVELLA,73,0.5364761789807799,136.07314333823447,42,78.28865781103902
L'HORT DE SENABRE,56,0.426389116475561,131.33543478521153,17,39.86968555979635
EL PLA DEL REMEI,50,0.38691532038423526,129.22724266991116,31,80.12089045534493
MARXALENES,49,0.3903624699823598,125.52436201721511,31,79.41337188844221
SANT MARCEL.LI,41,0.33043546060604256,124.07869277953108,17,51.44726285980557
MESTALLA,98,0.8437261675442586,116.1514289467137,61,72.29833842601566
SOTERNES,26,0.2243413084951975,115.8948397617846,19,84.69238290284258
CIUTAT DE LES ARTS I DE LES CIENCIES,106,0.9928836232476043,106.75974254997439,89,89.63789704667661
EL CALVARI,10,0.09368162331591741,106.74452092143565,6,64.0467125528614
PENYA-ROJA,96,0.9074012936276913,105.7966311864098,76,83.75566635590776
NATZARET,92,0.91643878083955,100.38859324102233,71,77.47380565339768
TORREFIEL,70,0.7002706128917968,99.96135595485303,31,44.26860049429206
BENIMACLET,74,0.7512572569342173,98.50154433380695,40,53.244078018274024
JAUME ROIG,16,0.18710023136619514,85.51566122162929,12,64.13674591622195
TRINITAT,46,0.5956740651732377,77.223439275675,34,57.078194247238045
BENICALAP,128,1.7189228359986302,74.46523911332923,84,48.86781316812231
EXPOSICIO,27,0.3816068171347477,70.75345299836752,18,47.16896866557835
SAFRANAR,25,0.44126343054364153,56.65549934468786,20,45.32439947575029
CIUTAT UNIVERSITARIA,15,0.2738504662693986,54.77441833253572,10,36.51627888835715
EL GRAU,283,5.23198152243779,54.09040509534119,220,42.04907816598962
TRES FORQUES,27,0.5267943471971264,51.2533973526041,11,20.881013736246114
LA FONTETA S.LLUIS,12,0.23882441832271104,50.246118400611046,9,37.68458880045828
FAVARA,12,0.28021260750916943,42.82462558222803,5,17.843593992595014
LA CREU COBERTA,16,0.3748854482597541,42.67970409167168,5,13.3374075286474
CAMPANAR,42,0.9877681881410896,42.52009783696421,31,31.383881736806917
CIUTAT FALLERA,18,0.4969077422953018,36.22402805972578,11,22.136906036499088
LA LLUM,6,0.17520352324667113,34.24588666263594,4,22.830591108423956
LA CARRASCA,62,1.9456974724345677,31.865179905086716,36,18.50236252553422
LA FONTSANTA,9,0.32299921873040816,27.863844486608077,3,9.287948162202692
MALILLA,68,2.5071521236750183,27.12240687666158,45,17.94865160955546
BENIMAMET,39,1.4771915686168238,26.401450447295648,20,13.53920535758751
BENIFERRI,12,0.5339455579802124,22.47420138748436,8,14.982800924989574
SANT LLORENS,31,1.5325912397553105,20.227180735386025,22,14.354773425112661
CAMI REAL,25,1.4775627944731309,16.919754675410932,11,7.44469205718081
SANT ISIDRE,7,0.49513890136110605,14.137447049216766,2,4.039270585490504
LA TORRE,5,0.4195230119633668,11.918297345835716,2,4.767318938334287
VARA DE QUART,10,1.034606336223765,9.665512040549881,6,5.7993072243299295
CAMI DE VERA,7,0.8270319850545084,8.464001545887783,4,4.836572311935876
SANT PAU,30,3.8980343902760137,7.696186589537951,24,6.156949271630361
EL SALER,61,8.247660455507244,7.396036770556942,56,6.789804248380144
EL PERELLONET,34,4.928204351112758,6.899064563408985,33,6.69615089977931
LA PUNTA,41,6.213241077260854,6.59881042601925,29,4.6674512769404455
PINEDO,17,6.526456361907716,2.60478260441947,16,2.4515600982771484
EL FORN D'ALCEDO,2,1.2008823882610447,1.6654420279209268,2,1.6654420279209268
CASTELLAR-L'OLIVERAL,4,2.9897012014333932,1.337926344640135,4,1.337926344640135
MAHUELLA-TAULADELLA,1,1.0430661378114894,0.9587119778407833,1,0.9587119778407833
CARPESA,2,2.2555402317201128,0.8867055315057566,2,0.8867055315057566
MASSARROJOS,2,2.7819008057218206,0.718932895050174,1,0.359466447525087
BORBOTO,1,1.4195907270891635,0.704428382714556,1,0.704428382714556
POBLE NOU,2,2.930957662354145,0.6823708256480239,0,0
FAITANAR,1,4.902501464250228,0.203977501545313,0,0
EL PALMAR,2,36.96163971904965,0.054110153532209784,0,0
RAFALELL-VISTABELLA,0,2.1244687953190278,0,0,0
BENIFARAIG,0,1.422068436208297,0,0,0
LES CASES DE BARCENA,0,1.2010233519543183,0,0,0
