nombre,airbnb_total,airbnb_vivienda_completa,airbnb_habitacion_privada,poblacion_2024,area_km2
CABANYAL-CANYAMELAR,750,642,108,19429,1.3498689421881518
RUSSAFA,565,440,114,25100,0.8767438001218523
AIORA,349,274,75,24902,0.6513516602006116
EL MERCAT,291,252,38,4034,0.1727939725686149
MONTOLIVET,284,220,63,19845,0.4746994605439377
EL GRAU,283,220,62,9931,5.23198152243779
EL CARME,273,255,18,7161,0.3840646551074624
LA MALVA-ROSA,258,193,65,13135,0.7329881537946075
SANT FRANCESC,245,176,69,6073,0.43865529157365285
EN CORTS,230,165,62,12222,0.3640243523460367
ARRANCAPINS,209,148,60,23354,0.8743687348052277
LA SEU,193,171,22,3245,0.22107259766128284
LA ROQUETA,173,123,49,5018,0.23056701694205484
NOU MOLES,165,93,72,27351,0.739498797994945
EL PILAR,144,131,12,5352,0.16160510750378704
LA RAIOSA,144,110,34,15968,0.3754463124778043
EL BOTANIC,141,120,21,6883,0.37011297129240145
LA XEREA,138,89,48,4137,0.31164788954017475
MORVEDRE,133,110,23,10301,0.4281813657313327
LA CREU DEL GRAU,133,94,39,15120,0.3901931426955629
BENICALAP,128,84,44,43916,1.7189228359986302
PATRAIX,123,92,31,24613,0.6213031273618383
LA PETXINA,114,94,20,15388,0.49677174395523954
CIUTAT DE LES ARTS I DE LES CIENCIES,106,89,17,9020,0.9928836232476043
ALBORS,100,67,33,9136,0.2556549789699685
CIUTAT JARDI,100,51,49,11922,0.3639058283321062
MESTALLA,98,61,37,14745,0.8437261675442586
PENYA-ROJA,96,76,20,13706,0.9074012936276913
NATZARET,92,71,21,6413,0.91643878083955
BETERO,89,44,45,7935,0.26723698329946177
L'AMISTAT,76,40,36,7123,0.20861229717740626
BENIMACLET,74,40,34,23265,0.7512572569342173
NA ROVELLA,73,42,31,7628,0.5364761789807799
LA GRAN VIA,71,44,27,12291,0.4671158046265851
TORREFIEL,70,31,39,27233,0.7002706128917968
MALILLA,68,45,23,24924,2.5071521236750183
L'ILLA PERDUDA,64,32,32,8453,0.23152207974505717
LA CARRASCA,62,36,22,3301,1.9456974724345677
EL SALER,61,56,5,1956,8.247660455507244
ELS ORRIOLS,58,29,29,18056,0.3967381735271384
TORMOS,56,36,20,8870,0.27994899563785935
L'HORT DE SENABRE,56,17,39,17225,0.426389116475561
LES TENDETES,52,31,21,5410,0.2581724601351728
CAMI FONDO,51,29,22,4589,0.15857863021227167
EL PLA DEL REMEI,50,31,19,7240,0.38691532038423526
MARXALENES,49,31,17,11158,0.3903624699823598
TRINITAT,46,34,12,8082,0.5956740651732377
SANT ANTONI,45,29,16,9972,0.24987147948870314
CAMPANAR,42,31,11,11633,0.9877681881410896
LA PUNTA,41,29,12,3441,6.213241077260854
SANT MARCEL.LI,41,17,24,10330,0.33043546060604256
BENIMAMET,39,20,19,14012,1.4771915686168238
LA VEGA BAIXA,38,25,13,5467,0.19057078441742314
EL PERELLONET,34,33,1,1515,4.928204351112758
SANT LLORENS,31,22,9,11414,1.5325912397553105
SANT PAU,30,24,6,18679,3.8980343902760137
EXPOSICIO,27,18,9,6941,0.3816068171347477
TRES FORQUES,27,11,16,10164,0.5267943471971264
SOTERNES,26,19,7,5095,0.2243413084951975
SAFRANAR,25,20,5,10452,0.44126343054364153
CAMI REAL,25,11,14,3960,1.4775627944731309
CIUTAT FALLERA,18,11,7,6236,0.4969077422953018
PINEDO,17,16,1,2640,6.526456361907716
LA CREU COBERTA,16,5,11,6099,0.3748854482597541
JAUME ROIG,16,12,4,6532,0.18710023136619514
CIUTAT UNIVERSITARIA,15,10,5,2802,0.2738504662693986
LA FONTETA S.LLUIS,12,9,3,3186,0.23882441832271104
BENIFERRI,12,8,4,1249,0.5339455579802124
FAVARA,12,5,7,3709,0.28021260750916943
EL CALVARI,10,6,4,5195,0.09368162331591741
VARA DE QUART,10,6,4,10199,1.034606336223765
LA FONTSANTA,9,3,6,3866,0.32299921873040816
CAMI DE VERA,7,4,3,5276,0.8270319850545084
SANT ISIDRE,7,2,5,10444,0.49513890136110605
LA LLUM,6,4,2,4998,0.17520352324667113
LA TORRE,5,2,3,4836,0.4195230119633668
CASTELLAR-L'OLIVERAL,4,4,0,6913,2.9897012014333932
EL PALMAR,2,0,2,750,36.96163971904965
CARPESA,2,2,0,1220,2.2555402317201128
POBLE NOU,2,0,2,960,2.930957662354145
MASSARROJOS,2,1,1,2646,2.7819008057218206
EL FORN D'ALCEDO,2,2,0,1368,1.2008823882610447
BORBOTO,1,1,0,739,1.4195907270891635
MAHUELLA-TAULADELLA,1,1,0,59,1.0430661378114894
FAITANAR,1,0,1,2065,4.902501464250228
RAFALELL-VISTABELLA,0,0,0,59,2.1244687953190278
BENIFARAIG,0,0,0,1008,1.422068436208297
LES CASES DE BARCENA,0,0,0,377,1.2010233519543183
