nombre,airbnb_total,airbnb_vivienda_completa,porcentaje_vivienda_completa
CARPESA,2,2,100
BORBOTO,1,1,100
MAHUELLA-TAULADELLA,1,1,100
CASTELLAR-L'OLIVERAL,4,4,100
EL FORN D'ALCEDO,2,2,100
EL PERELLONET,34,33,97.05882352941177
PINEDO,17,16,94.11764705882352
EL CARME,273,255,93.4065934065934
EL SALER,61,56,91.80327868852459
EL PILAR,144,131,90.97222222222221
LA SEU,193,171,88.60103626943005
EL MERCAT,291,252,86.5979381443299
CABANYAL-CANYAMELAR,750,642,85.6
EL BOTANIC,141,120,85.1063829787234
CIUTAT DE LES ARTS I DE LES CIENCIES,106,89,83.9622641509434
MORVEDRE,133,110,82.70676691729322
LA PETXINA,114,94,82.45614035087719
SAFRANAR,25,20,80
SANT PAU,30,24,80
PENYA-ROJA,96,76,79.16666666666666
AIORA,349,274,78.51002865329512
RUSSAFA,565,440,77.87610619469027
EL GRAU,283,220,77.73851590106007
MONTOLIVET,284,220,77.46478873239437
NATZARET,92,71,77.17391304347827
LA RAIOSA,144,110,76.38888888888889
LA FONTETA S.LLUIS,12,9,75
JAUME ROIG,16,12,75
LA MALVA-ROSA,258,193,74.8062015503876
PATRAIX,123,92,74.79674796747967
TRINITAT,46,34,73.91304347826086
CAMPANAR,42,31,73.80952380952381
SOTERNES,26,19,73.07692307692307
SANT FRANCESC,245,176,71.83673469387755
EN CORTS,230,165,71.73913043478261
LA ROQUETA,173,123,71.09826589595376
SANT LLORENS,31,22,70.96774193548387
ARRANCAPINS,209,148,70.81339712918661
LA PUNTA,41,29,70.73170731707317
LA CREU DEL GRAU,133,94,70.67669172932331
ALBORS,100,67,67
BENIFERRI,12,8,66.66666666666666
EXPOSICIO,27,18,66.66666666666666
CIUTAT UNIVERSITARIA,15,10,66.66666666666666
LA LLUM,6,4,66.66666666666666
MALILLA,68,45,66.17647058823529
LA VEGA BAIXA,38,25,65.78947368421053
BENICALAP,128,84,65.625
LA XEREA,138,89,64.4927536231884
SANT ANTONI,45,29,64.44444444444444
TORMOS,56,36,64.28571428571429
MARXALENES,49,31,63.26530612244898
MESTALLA,98,61,62.244897959183675
EL PLA DEL REMEI,50,31,62
LA GRAN VIA,71,44,61.97183098591549
CIUTAT FALLERA,18,11,61.111111111111114
EL CALVARI,10,6,60
VARA DE QUART,10,6,60
LES TENDETES,52,31,59.61538461538461
LA CARRASCA,62,36,58.06451612903226
NA ROVELLA,73,42,57.534246575342465
CAMI DE VERA,7,4,57.14285714285714
CAMI FONDO,51,29,56.86274509803921
NOU MOLES,165,93,56.36363636363636
BENIMACLET,74,40,54.054054054054056
L'AMISTAT,76,40,52.63157894736842
BENIMAMET,39,20,51.28205128205128
CIUTAT JARDI,100,51,51
L'ILLA PERDUDA,64,32,50
MASSARROJOS,2,1,50
ELS ORRIOLS,58,29,50
BETERO,89,44,49.43820224719101
TORREFIEL,70,31,44.285714285714285
CAMI REAL,25,11,44
FAVARA,12,5,41.66666666666667
SANT MARCEL.LI,41,17,41.46341463414634
TRES FORQUES,27,11,40.74074074074074
LA TORRE,5,2,40
LA FONTSANTA,9,3,33.33333333333333
LA CREU COBERTA,16,5,31.25
L'HORT DE SENABRE,56,17,30.357142857142854
SANT ISIDRE,7,2,28.57142857142857
EL PALMAR,2,0,0
POBLE NOU,2,0,0
FAITANAR,1,0,0
