Municipios,Distritos,Secciones,Indicadores de renta media,Periodo,Total,renta_neta_persona
46250 València,4625001 València distrito 01,NA,Renta neta media por persona,2023,22.047,22047
46250 València,4625002 València distrito 02,NA,Renta neta media por persona,2023,23.476,23476
46250 València,4625003 València distrito 03,NA,Renta neta media por persona,2023,19.433,19433
46250 València,4625004 València distrito 04,NA,Renta neta media por persona,2023,17.413,17413
46250 València,4625005 València distrito 05,NA,Renta neta media por persona,2023,15.039,15039
46250 València,4625006 València distrito 06,NA,Renta neta media por persona,2023,23.637,23637
46250 València,4625007 València distrito 07,NA,Renta neta media por persona,2023,12.952,12952
46250 València,4625008 València distrito 08,NA,Renta neta media por persona,2023,15.786,15786
46250 València,4625009 València distrito 09,NA,Renta neta media por persona,2023,13.668,13668
46250 València,4625010 València distrito 10,NA,Renta neta media por persona,2023,14.930,14930
46250 València,4625011 València distrito 11,NA,Renta neta media por persona,2023,13.762,13762
46250 València,4625012 València distrito 12,NA,Renta neta media por persona,2023,15.749,15749
46250 València,4625013 València distrito 13,NA,Renta neta media por persona,2023,17.474,17474
46250 València,4625014 València distrito 14,NA,Renta neta media por persona,2023,17.133,17133
46250 València,4625015 València distrito 15,NA,Renta neta media por persona,2023,13.154,13154
46250 València,4625016 València distrito 16,NA,Renta neta media por persona,2023,13.621,13621
46250 València,4625017 València distrito 17,NA,Renta neta media por persona,2023,17.138,17138
46250 València,4625018 València distrito 18,NA,Renta neta media por persona,2023,12.511,12511
46250 València,4625019 València distrito 19,NA,Renta neta media por persona,2023,13.999,13999
