nombre,airbnb_total,airbnb_vivienda_completa,airbnb_habitacion_privada,poblacion_2024,area_km2,airbnb_por_km2,airbnb_por_1000_hab,vivienda_completa_por_1000_hab,densidad_poblacion
EL MERCAT,291,252,38,4034,0.1727939725686149,1684.0865203469211,72.13683688646505,62.46901338621715,23345.721728795463
LA SEU,193,171,22,3245,0.22107259766128284,873.0163848515755,59.47611710323575,52.69645608628659,14678.436107996697
SANT FRANCESC,245,176,69,6073,0.43865529157365285,558.5251214480403,40.34249958834184,28.98073439815577,13844.583928791628
CABANYAL-CANYAMELAR,750,642,108,19429,1.3498689421881518,555.6094940478015,38.60208965978692,33.0433887487776,14393.24914647298
EL CARME,273,255,18,7161,0.3840646551074624,710.8178177021101,38.12316715542522,35.609551738583995,18645.298141263043
LA ROQUETA,173,123,49,5018,0.23056701694205484,750.324145640821,34.475886807493026,24.511757672379435,21763.73735737364
LA XEREA,138,89,48,4137,0.31164788954017475,442.807426687901,33.35750543872371,21.51317379743776,13274.59655223077
EL SALER,61,56,5,1956,8.247660455507244,7.396036770556942,31.186094069529656,28.629856850715747,237.1581626755636
EL GRAU,283,220,62,9931,5.23198152243779,54.09040509534119,28.496626724398347,22.152854697412145,1898.1336148474677
EL PILAR,144,131,12,5352,0.16160510750378704,891.0609461809586,26.90582959641256,24.476831091180866,33117.765166392295
RUSSAFA,565,440,114,25100,0.8767438001218523,644.4299918875671,22.50996015936255,17.52988047808765,28628.659816598112
EL PERELLONET,34,33,1,1515,4.928204351112758,6.899064563408985,22.442244224422442,21.78217821782178,307.4142003989592
EL BOTANIC,141,120,21,6883,0.37011297129240145,380.9647619418487,20.485253523173036,17.434258317594075,18597.024513799606
LA MALVA-ROSA,258,193,65,13135,0.7329881537946075,351.9838603998706,19.64217738865626,14.693566806242861,17919.79847423372
EN CORTS,230,165,62,12222,0.3640243523460367,631.8258614230431,18.81852397316315,13.500245459008346,33574.67686222797
LA CARRASCA,62,36,22,3301,1.9456974724345677,31.865179905086716,18.782187215995155,10.90578612541654,1696.5638526885684
MAHUELLA-TAULADELLA,1,1,0,59,1.0430661378114894,0.9587119778407833,16.949152542372882,16.949152542372882,56.56400669260621
NATZARET,92,71,21,6413,0.91643878083955,100.38859324102233,14.345859971932013,11.071261500077966,6997.739657116046
MONTOLIVET,284,220,63,19845,0.4746994605439377,598.273273103316,14.310909549004787,11.085915847820608,41805.39825611023
AIORA,349,274,75,24902,0.6513516602006116,535.8088745678648,14.014938559151876,11.003132278531846,38231.26817905148
MORVEDRE,133,110,23,10301,0.4281813657313327,310.6160394739186,12.911367828366178,10.6785748956412,24057.562576096505
LA PUNTA,41,29,12,3441,6.213241077260854,6.59881042601925,11.915140947399012,8.427782621331009,553.8172359983473
CIUTAT DE LES ARTS I DE LES CIENCIES,106,89,17,9020,0.9928836232476043,106.75974254997439,11.751662971175167,9.866962305986696,9084.649790573292
BETERO,89,44,45,7935,0.26723698329946177,333.03773639843826,11.216131064902331,5.5450535601764335,29692.74649799559
CAMI FONDO,51,29,22,4589,0.15857863021227167,321.60701559681746,11.113532359991284,6.319459577249945,28938.325383799907
ALBORS,100,67,33,9136,0.2556549789699685,391.1521708002678,10.945709281961472,7.333625218914185,35735.66232431246
L'AMISTAT,76,40,36,7123,0.20861229717740626,364.3121763592332,10.669661659413169,5.615611399691142,34144.679371142345
LES TENDETES,52,31,21,5410,0.2581724601351728,201.4157512105438,9.611829944547136,5.730129390018484,20954.984885558497
BENIFERRI,12,8,4,1249,0.5339455579802124,22.47420138748436,9.607686148919134,6.405124099279423,2339.1897944139973
NA ROVELLA,73,42,31,7628,0.5364761789807799,136.07314333823447,9.57000524383849,5.506030414263241,14218.71147101442
LA RAIOSA,144,110,34,15968,0.3754463124778043,383.5435193108016,9.01803607214429,6.88877755511022,42530.71469690889
ARRANCAPINS,209,148,60,23354,0.8743687348052277,239.02958978348687,8.949216408324057,6.337244155176843,26709.555214371063
LA CREU DEL GRAU,133,94,39,15120,0.3901931426955629,340.8568358767121,8.796296296296298,6.216931216931217,38750.040289142016
CIUTAT JARDI,100,51,49,11922,0.3639058283321062,274.7963682206772,8.387854386847843,4.2778057372924,32761.223019269135
L'ILLA PERDUDA,64,32,32,8453,0.23152207974505717,276.4315181967708,7.571276469892346,3.785638234946173,36510.556614332876
LA PETXINA,114,94,20,15388,0.49677174395523954,229.48165105435567,7.408370158565116,6.108656095658955,30975.996898459867
PENYA-ROJA,96,76,20,13706,0.9074012936276913,105.7966311864098,7.004231723332847,5.545016780971838,15104.673198343049
LA VEGA BAIXA,38,25,13,5467,0.19057078441742314,199.40097384898945,6.95079568319005,4.572891896835559,28687.503264011193
EL PLA DEL REMEI,50,31,19,7240,0.38691532038423526,129.22724266991116,6.906077348066298,4.281767955801104,18712.10473860314
MESTALLA,98,61,37,14745,0.8437261675442586,116.1514289467137,6.646320786707359,4.136995591726008,17476.049181829523
PINEDO,17,16,1,2640,6.526456361907716,2.60478260441947,6.4393939393939394,6.0606060606060606,404.5074162157295
TORMOS,56,36,20,8870,0.27994899563785935,200.0364383247916,6.313416009019166,4.058624577226606,31684.342998944667
CAMI REAL,25,11,14,3960,1.4775627944731309,16.919754675410932,6.313131313131313,2.7777777777777777,2680.0891405850916
NOU MOLES,165,93,72,27351,0.739498797994945,223.12409492398916,6.032686190632884,3.400241307447625,36985.86133494562
LA GRAN VIA,71,44,27,12291,0.4671158046265851,151.996569794417,5.776584492718249,3.579855178585957,26312.532948495485
TRINITAT,46,34,12,8082,0.5956740651732377,77.223439275675,5.691660480079189,4.206879485275922,13567.822526652291
CIUTAT UNIVERSITARIA,15,10,5,2802,0.2738504662693986,54.77441833253572,5.353319057815845,3.5688793718772303,10231.861344517672
SOTERNES,26,19,7,5095,0.2243413084951975,115.8948397617846,5.103042198233562,3.7291462217860647,22710.93109947279
PATRAIX,123,92,31,24613,0.6213031273618383,197.9709977032942,4.99735911916467,3.73786210539146,39615.12330464374
SANT ANTONI,45,29,16,9972,0.24987147948870314,180.09258236306428,4.512635379061372,2.908142799839551,39908.51625165505
MARXALENES,49,31,17,11158,0.3903624699823598,125.52436201721511,4.391468005018821,2.77827567664456,28583.690436491557
SANT MARCEL.LI,41,17,24,10330,0.33043546060604256,124.07869277953108,3.969022265246854,1.6456921587608906,31261.777961281856
EXPOSICIO,27,18,9,6941,0.3816068171347477,70.75345299836752,3.8899294049848723,2.5932862699899153,18188.87841709885
LA FONTETA S.LLUIS,12,9,3,3186,0.23882441832271104,50.246118400611046,3.766478342749529,2.824858757062147,13340.344435362233
CAMPANAR,42,31,11,11633,0.9877681881410896,42.52009783696421,3.610418636637153,2.664832803232184,11777.054717557254
L'HORT DE SENABRE,56,17,39,17225,0.426389116475561,131.33543478521153,3.251088534107402,0.9869375907111755,40397.372574558365
FAVARA,12,5,7,3709,0.28021260750916943,42.82462558222803,3.2353734160150984,1.3480722566729577,13236.37802370698
ELS ORRIOLS,58,29,29,18056,0.3967381735271384,146.19213342734355,3.212228622064688,1.606114311032344,45511.123468346814
BENIMACLET,74,40,34,23265,0.7512572569342173,98.50154433380695,3.1807436062755214,1.7193208682570384,30968.086877378628
BENICALAP,128,84,44,43916,1.7189228359986302,74.46523911332923,2.914655250933601,1.9127425084251752,25548.5581320388
CIUTAT FALLERA,18,11,7,6236,0.4969077422953018,36.22402805972578,2.886465683130212,1.7639512508017958,12549.613276691665
BENIMAMET,39,20,19,14012,1.4771915686168238,26.401450447295648,2.7833285755067085,1.4273479874393378,9485.56727352581
MALILLA,68,45,23,24924,2.5071521236750183,27.12240687666158,2.728294013801958,1.805488685604237,9941.159838145782
SANT LLORENS,31,22,9,11414,1.5325912397553105,20.227180735386025,2.7159628526371122,1.927457508323112,7447.517448828906
EL PALMAR,2,0,2,750,36.96163971904965,0.054110153532209784,2.6666666666666665,0,20.29130757457867
TRES FORQUES,27,11,16,10164,0.5267943471971264,51.2533973526041,2.656434474616293,1.0822510822510822,19294.056692291408
LA CREU COBERTA,16,5,11,6099,0.3748854482597541,42.67970409167168,2.623380882111822,0.8198065256599443,16268.9697034441
TORREFIEL,70,31,39,27233,0.7002706128917968,99.96135595485303,2.57041089854221,1.1383248264972643,38889.251524550185
JAUME ROIG,16,12,4,6532,0.18710023136619514,85.51566122162929,2.449479485609308,1.837109614206981,34911.768693730155
SAFRANAR,25,20,5,10452,0.44126343054364153,56.65549934468786,2.391886720244929,1.9135093761959434,23686.5311660271
LA FONTSANTA,9,3,6,3866,0.32299921873040816,27.863844486608077,2.3279875840662183,0.7759958613554061,11969.069198358537
POBLE NOU,2,0,2,960,2.930957662354145,0.6823708256480239,2.0833333333333335,0,327.5379963110515
EL CALVARI,10,6,4,5195,0.09368162331591741,106.74452092143565,1.9249278152069298,1.1549566891241578,55453.77861868582
CARPESA,2,2,0,1220,2.2555402317201128,0.8867055315057566,1.639344262295082,1.639344262295082,540.8903742185115
SANT PAU,30,24,6,18679,3.8980343902760137,7.696186589537951,1.606081696022271,1.2848653568178168,4791.9023101993125
EL FORN D'ALCEDO,2,2,0,1368,1.2008823882610447,1.6654420279209268,1.461988304093567,1.461988304093567,1139.1623470979139
BORBOTO,1,1,0,739,1.4195907270891635,0.704428382714556,1.3531799729364007,1.3531799729364007,520.5725748260569
CAMI DE VERA,7,4,3,5276,0.8270319850545084,8.464001545887783,1.326762699014405,0.7581501137225171,6379.43887944342
LA LLUM,6,4,2,4998,0.17520352324667113,34.24588666263594,1.2004801920768307,0.8003201280512205,28526.823589975735
LA TORRE,5,2,3,4836,0.4195230119633668,11.918297345835716,1.0339123242349049,0.41356492969396197,11527.377192892305
VARA DE QUART,10,6,4,10199,1.034606336223765,9.665512040549881,0.9804882831650162,0.5882929698990097,9857.855730156825
MASSARROJOS,2,1,1,2646,2.7819008057218206,0.718932895050174,0.7558578987150416,0.3779289493575208,951.1482201513801
SANT ISIDRE,7,2,5,10444,0.49513890136110605,14.137447049216766,0.6702412868632708,0.19149751053236308,21093.070997431416
CASTELLAR-L'OLIVERAL,4,4,0,6913,2.9897012014333932,1.337926344640135,0.5786199913207002,0.5786199913207002,2312.2712051243134
FAITANAR,1,0,1,2065,4.902501464250228,0.203977501545313,0.48426150121065376,0,421.21354069107133
RAFALELL-VISTABELLA,0,0,0,59,2.1244687953190278,0,0,0,27.771648202128606
BENIFARAIG,0,0,0,1008,1.422068436208297,0,0,0,708.8266459859416
LES CASES DE BARCENA,0,0,0,377,1.2010233519543183,0,0,0,313.8989757247779
