nombre,airbnb_por_1000_hab,cluster,p_value
EL MERCAT,72.13683688646505,Alto-Alto,6.017467829354218e-9
SANT FRANCESC,40.34249958834184,Alto-Alto,6.848233943854365e-9
LA SEU,59.47611710323575,Alto-Alto,4.307597775641922e-8
EL PILAR,26.90582959641256,Alto-Alto,2.0439235709922718e-7
EL CARME,38.12316715542522,Alto-Alto,1.1262756402638917e-4
EL BOTANIC,20.485253523173036,Alto-Alto,0.011964041316895341
LA ROQUETA,34.475886807493026,Alto-Alto,0.0362109696415422
LA XEREA,33.35750543872371,Alto-Alto,0.03797078862786171
CAMI REAL,6.313131313131313,Bajo-Bajo,0.03352396236055535
TRINITAT,5.691660480079189,Bajo-Alto,0.014305104924299508
